"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","04.01.2021 01:00 - 04.01.2021 02:00 (CET/CEST)","376","n/e","n/e","n/e","1081","0","n/e","n/e","n/e","n/e","0","3","825","264","n/e","n/e","28","n/e","0","n/e","0","536"
"Portugal (PT)","04.01.2021 02:00 - 04.01.2021 03:00 (CET/CEST)","380","n/e","n/e","n/e","883","0","n/e","n/e","n/e","n/e","0","14","592","259","n/e","n/e","29","n/e","0","n/e","0","512"
"Portugal (PT)","04.01.2021 03:00 - 04.01.2021 04:00 (CET/CEST)","379","n/e","n/e","n/e","952","31","n/e","n/e","n/e","n/e","0","114","639","293","n/e","n/e","29","n/e","0","n/e","0","499"
"Portugal (PT)","04.01.2021 04:00 - 04.01.2021 05:00 (CET/CEST)","374","n/e","n/e","n/e","1021","82","n/e","n/e","n/e","n/e","0","11","762","363","n/e","n/e","27","n/e","0","n/e","0","486"
"Portugal (PT)","04.01.2021 05:00 - 04.01.2021 06:00 (CET/CEST)","368","n/e","n/e","n/e","1044","156","n/e","n/e","n/e","n/e","0","21","715","400","n/e","n/e","27","n/e","0","n/e","0","453"
"Portugal (PT)","04.01.2021 06:00 - 04.01.2021 07:00 (CET/CEST)","370","n/e","n/e","n/e","1384","235","n/e","n/e","n/e","n/e","18","24","869","420","n/e","n/e","26","n/e","0","n/e","0","480"
"Portugal (PT)","04.01.2021 07:00 - 04.01.2021 08:00 (CET/CEST)","372","n/e","n/e","n/e","1784","354","n/e","n/e","n/e","n/e","603","7","1218","785","n/e","n/e","26","n/e","0","n/e","0","478"
"Portugal (PT)","04.01.2021 08:00 - 04.01.2021 09:00 (CET/CEST)","370","n/e","n/e","n/e","2448","434","n/e","n/e","n/e","n/e","1576","1","1621","959","n/e","n/e","27","n/e","1","n/e","0","453"
"Portugal (PT)","04.01.2021 09:00 - 04.01.2021 10:00 (CET/CEST)","375","n/e","n/e","n/e","2934","530","n/e","n/e","n/e","n/e","2150","0","1995","1021","n/e","n/e","28","n/e","58","n/e","0","368"
"Portugal (PT)","04.01.2021 10:00 - 04.01.2021 11:00 (CET/CEST)","373","n/e","n/e","n/e","3098","572","n/e","n/e","n/e","n/e","2091","0","2015","1099","n/e","n/e","30","n/e","189","n/e","0","221"
"Portugal (PT)","04.01.2021 11:00 - 04.01.2021 12:00 (CET/CEST)","383","n/e","n/e","n/e","3362","573","n/e","n/e","n/e","n/e","1683","1","1784","1082","n/e","n/e","30","n/e","278","n/e","0","194"
"Portugal (PT)","04.01.2021 12:00 - 04.01.2021 13:00 (CET/CEST)","390","n/e","n/e","n/e","3619","575","n/e","n/e","n/e","n/e","1642","1","1789","780","n/e","n/e","30","n/e","290","n/e","0","201"
"Portugal (PT)","04.01.2021 13:00 - 04.01.2021 14:00 (CET/CEST)","390","n/e","n/e","n/e","3814","574","n/e","n/e","n/e","n/e","1564","1","1752","777","n/e","n/e","30","n/e","296","n/e","0","247"
"Portugal (PT)","04.01.2021 14:00 - 04.01.2021 15:00 (CET/CEST)","380","n/e","n/e","n/e","3991","575","n/e","n/e","n/e","n/e","514","3","1574","741","n/e","n/e","28","n/e","272","n/e","0","331"
"Portugal (PT)","04.01.2021 15:00 - 04.01.2021 16:00 (CET/CEST)","389","n/e","n/e","n/e","4019","574","n/e","n/e","n/e","n/e","655","2","1563","748","n/e","n/e","31","n/e","265","n/e","0","380"
"Portugal (PT)","04.01.2021 16:00 - 04.01.2021 17:00 (CET/CEST)","389","n/e","n/e","n/e","4043","574","n/e","n/e","n/e","n/e","854","2","1594","743","n/e","n/e","31","n/e","196","n/e","0","380"
"Portugal (PT)","04.01.2021 17:00 - 04.01.2021 18:00 (CET/CEST)","397","n/e","n/e","n/e","4052","574","n/e","n/e","n/e","n/e","1831","1","1840","1107","n/e","n/e","31","n/e","70","n/e","0","348"
"Portugal (PT)","04.01.2021 18:00 - 04.01.2021 19:00 (CET/CEST)","392","n/e","n/e","n/e","4137","574","n/e","n/e","n/e","n/e","2199","0","2112","1158","n/e","n/e","30","n/e","2","n/e","0","293"
"Portugal (PT)","04.01.2021 19:00 - 04.01.2021 20:00 (CET/CEST)","389","n/e","n/e","n/e","3912","574","n/e","n/e","n/e","n/e","2296","0","2144","1187","n/e","n/e","33","n/e","0","n/e","0","306"
"Portugal (PT)","04.01.2021 20:00 - 04.01.2021 21:00 (CET/CEST)","385","n/e","n/e","n/e","4316","575","n/e","n/e","n/e","n/e","1980","1","2036","1194","n/e","n/e","31","n/e","0","n/e","0","328"
"Portugal (PT)","04.01.2021 21:00 - 04.01.2021 22:00 (CET/CEST)","386","n/e","n/e","n/e","4132","575","n/e","n/e","n/e","n/e","1973","0","1997","982","n/e","n/e","32","n/e","0","n/e","0","350"
"Portugal (PT)","04.01.2021 22:00 - 04.01.2021 23:00 (CET/CEST)","385","n/e","n/e","n/e","3533","453","n/e","n/e","n/e","n/e","1327","1","1675","579","n/e","n/e","32","n/e","0","n/e","0","350"
"Portugal (PT)","04.01.2021 23:00 - 05.01.2021 00:00 (CET/CEST)","385","n/e","n/e","n/e","3368","323","n/e","n/e","n/e","n/e","844","2","1307","497","n/e","n/e","32","n/e","0","n/e","0","406"
"Portugal (PT)","05.01.2021 00:00 - 05.01.2021 01:00 (CET/CEST)","381","n/e","n/e","n/e","2991","427","n/e","n/e","n/e","n/e","90","11","1249","392","n/e","n/e","32","n/e","0","n/e","0","397"
"Portugal (PT)","05.01.2021 01:00 - 05.01.2021 02:00 (CET/CEST)","382","n/e","n/e","n/e","2428","220","n/e","n/e","n/e","n/e","23","223","1082","108","n/e","n/e","33","n/e","0","n/e","0","376"
"Portugal (PT)","05.01.2021 02:00 - 05.01.2021 03:00 (CET/CEST)","385","n/e","n/e","n/e","2445","202","n/e","n/e","n/e","n/e","3","158","1059","135","n/e","n/e","33","n/e","0","n/e","0","329"
