"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"France (FR)","31.10.2021 17:00 - 31.10.2021 18:00 (CET/CEST)","346","n/e","n/e","n/e","794","24","175","n/e","n/e","n/e","","1751","2220","613","n/e","38560","n/e","n/e","260","193","n/e","9229"
"France (FR)","31.10.2021 18:00 - 31.10.2021 19:00 (CET/CEST)","349","n/e","n/e","n/e","806","23","174","n/e","n/e","n/e","","1083","2368","677","n/e","39291","n/e","n/e","0","197","n/e","8818"
"France (FR)","31.10.2021 19:00 - 31.10.2021 20:00 (CET/CEST)","347","n/e","n/e","n/e","799","23","173","n/e","n/e","n/e","","219","2698","789","n/e","40082","n/e","n/e","0","195","n/e","8457"
"France (FR)","31.10.2021 20:00 - 31.10.2021 21:00 (CET/CEST)","346","n/e","n/e","n/e","809","23","174","n/e","n/e","n/e","","132","2729","835","n/e","39392","n/e","n/e","0","196","n/e","8014"
"France (FR)","31.10.2021 21:00 - 31.10.2021 22:00 (CET/CEST)","340","n/e","n/e","n/e","835","23","173","n/e","n/e","n/e","","707","2550","536","n/e","39200","n/e","n/e","0","191","n/e","7979"
"France (FR)","31.10.2021 22:00 - 31.10.2021 23:00 (CET/CEST)","345","n/e","n/e","n/e","839","23","173","n/e","n/e","n/e","","975","2419","565","n/e","39470","n/e","n/e","0","189","n/e","7807"
"France (FR)","31.10.2021 23:00 - 01.11.2021 00:00 (CET/CEST)","351","n/e","n/e","n/e","846","25","173","n/e","n/e","n/e","","1326","2275","505","n/e","38897","n/e","n/e","0","190","n/e","8118"
"France (FR)","01.11.2021 00:00 - 01.11.2021 01:00 (CET/CEST)","360","n/e","n/e","n/e","895","24","198","n/e","n/e","n/e","","1782","2227","533","n/e","37854","n/e","n/e","0","276","n/e","8147"
"France (FR)","01.11.2021 01:00 - 01.11.2021 02:00 (CET/CEST)","362","n/e","n/e","n/e","918","24","207","n/e","n/e","n/e","","2417","2206","797","n/e","37143","n/e","n/e","0","278","n/e","8076"
"France (FR)","01.11.2021 02:00 - 01.11.2021 03:00 (CET/CEST)","360","n/e","n/e","n/e","2048","25","207","n/e","n/e","n/e","","2646","2256","660","n/e","36656","n/e","n/e","0","278","n/e","7833"
"France (FR)","01.11.2021 03:00 - 01.11.2021 04:00 (CET/CEST)","362","n/e","n/e","n/e","2059","26","208","n/e","n/e","n/e","","2921","2449","458","n/e","35858","n/e","n/e","0","279","n/e","7827"
"France (FR)","01.11.2021 04:00 - 01.11.2021 05:00 (CET/CEST)","360","n/e","n/e","n/e","2053","28","209","n/e","n/e","n/e","","3088","2577","239","n/e","35729","n/e","n/e","0","281","n/e","7853"
"France (FR)","01.11.2021 05:00 - 01.11.2021 06:00 (CET/CEST)","358","n/e","n/e","n/e","2038","30","208","n/e","n/e","n/e","","2843","2642","265","n/e","35913","n/e","n/e","0","279","n/e","7844"
"France (FR)","01.11.2021 06:00 - 01.11.2021 07:00 (CET/CEST)","357","n/e","n/e","n/e","2022","32","209","n/e","n/e","n/e","","2432","2752","434","n/e","37337","n/e","n/e","0","277","n/e","7756"
"France (FR)","01.11.2021 07:00 - 01.11.2021 08:00 (CET/CEST)","359","n/e","n/e","n/e","2049","36","209","n/e","n/e","n/e","","2192","2904","586","n/e","38238","n/e","n/e","178","265","n/e","7719"
"France (FR)","01.11.2021 08:00 - 01.11.2021 09:00 (CET/CEST)","359","n/e","n/e","n/e","2060","37","209","n/e","n/e","n/e","","1715","3085","805","n/e","38841","n/e","n/e","494","261","n/e","7401"
