"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Spain (ES)","05.09.2021 17:00 - 05.09.2021 18:00 (CET/CEST)","438","n/e","0","0","5142","452","114","0","0","0","","1436","502","784","0","6930","57","93","9473","288","0","3192"
"Spain (ES)","05.09.2021 18:00 - 05.09.2021 19:00 (CET/CEST)","428","n/e","0","0","6098","507","115","0","0","0","","797","534","1819","0","6931","57","93","7516","288","0","3327"
"Spain (ES)","05.09.2021 19:00 - 05.09.2021 20:00 (CET/CEST)","405","n/e","0","0","7697","509","116","0","0","0","","263","568","2976","0","6933","57","90","3550","289","0","3469"
"Spain (ES)","05.09.2021 20:00 - 05.09.2021 21:00 (CET/CEST)","420","n/e","0","0","8681","510","117","0","0","0","","0","579","3658","0","6937","56","90","1005","290","0","3876"
"Spain (ES)","05.09.2021 21:00 - 05.09.2021 22:00 (CET/CEST)","447","n/e","0","0","9438","509","117","0","0","0","","0","628","4202","0","6940","58","89","691","292","0","3959"
"Spain (ES)","05.09.2021 22:00 - 05.09.2021 23:00 (CET/CEST)","457","n/e","0","0","9113","509","117","0","0","0","","0","611","3229","0","6945","56","89","666","289","0","4372"
"Spain (ES)","05.09.2021 23:00 - 06.09.2021 00:00 (CET/CEST)","454","n/e","0","0","8840","510","119","0","0","0","","0","627","2647","0","6948","58","90","681","291","0","4281"
"Spain (ES)","06.09.2021 00:00 - 06.09.2021 01:00 (CET/CEST)","459","n/e","0","0","8603","510","136","0","0","0","","2","632","1751","0","6948","56","88","678","290","0","4179"
"Spain (ES)","06.09.2021 01:00 - 06.09.2021 02:00 (CET/CEST)","453","n/e","0","0","7834","510","136","0","0","0","","315","549","1290","0","6950","58","90","590","285","0","4442"
"Spain (ES)","06.09.2021 02:00 - 06.09.2021 03:00 (CET/CEST)","450","n/e","0","0","7277","511","135","0","0","0","","966","520","1278","0","6952","58","90","489","285","0","4749"
"Spain (ES)","06.09.2021 03:00 - 06.09.2021 04:00 (CET/CEST)","453","n/e","0","0","7089","476","133","0","0","0","","931","500","1263","0","6953","58","87","333","291","0","4830"
"Spain (ES)","06.09.2021 04:00 - 06.09.2021 05:00 (CET/CEST)","456","n/e","0","0","7300","441","134","0","0","0","","760","484","1113","0","6953","57","87","161","293","0","4875"
"Spain (ES)","06.09.2021 05:00 - 06.09.2021 06:00 (CET/CEST)","460","n/e","0","0","7632","447","138","0","0","0","","668","482","1038","0","6953","56","90","81","291","0","4804"
"Spain (ES)","06.09.2021 06:00 - 06.09.2021 07:00 (CET/CEST)","459","n/e","0","0","9080","505","140","0","0","0","","36","538","2164","0","6954","57","89","76","273","0","5221"
"Spain (ES)","06.09.2021 07:00 - 06.09.2021 08:00 (CET/CEST)","459","n/e","0","0","9945","521","151","0","0","0","","0","579","2455","0","6956","57","89","80","272","0","5493"
"Spain (ES)","06.09.2021 08:00 - 06.09.2021 09:00 (CET/CEST)","454","n/e","0","0","10316","520","157","0","0","0","","0","604","2203","0","6957","61","97","550","271","0","5622"
"Spain (ES)","06.09.2021 09:00 - 06.09.2021 10:00 (CET/CEST)","455","n/e","0","0","10465","520","160","0","0","0","","0","613","2172","0","6951","60","94","1787","271","0","5304"
"Spain (ES)","06.09.2021 10:00 - 06.09.2021 11:00 (CET/CEST)","458","n/e","0","0","9784","520","160","0","0","0","","0","600","2675","0","6944","56","99","3035","272","0","5118"
"Spain (ES)","06.09.2021 11:00 - 06.09.2021 12:00 (CET/CEST)","459","n/e","0","0","9483","520","157","0","0","0","","3","578","2211","0","6947","56","99","4474","273","0","5145"
"Spain (ES)","06.09.2021 12:00 - 06.09.2021 13:00 (CET/CEST)","460","n/e","0","0","9335","520","159","0","0","0","","0","555","2027","0","6943","57","100","5577","277","0","5143"
"Spain (ES)","06.09.2021 13:00 - 06.09.2021 14:00 (CET/CEST)","457","n/e","0","0","9325","520","158","0","0","0","","0","570","2027","0","6937","59","101","6004","273","0","5370"
"Spain (ES)","06.09.2021 14:00 - 06.09.2021 15:00 (CET/CEST)","457","n/e","0","0","9140","520","158","0","0","0","","0","514","2097","0","6937","59","101","5888","271","0","5346"
"Spain (ES)","06.09.2021 15:00 - 06.09.2021 16:00 (CET/CEST)","458","n/e","0","0","9253","520","156","0","0","0","","0","557","2285","0","6935","60","100","5288","265","0","5705"
"Spain (ES)","06.09.2021 16:00 - 06.09.2021 17:00 (CET/CEST)","454","n/e","0","0","9314","520","152","0","0","0","","0","523","1801","0","6932","60","104","4983","269","0","6307"
"Spain (ES)","06.09.2021 17:00 - 06.09.2021 18:00 (CET/CEST)","427","n/e","0","0","10016","520","155","0","0","0","","0","524","1415","0","6932","59","106","4302","266","0","6918"
"Spain (ES)","06.09.2021 18:00 - 06.09.2021 19:00 (CET/CEST)","422","n/e","0","0","10810","520","159","0","0","0","","0","522","1646","0","6934","57","107","3425","262","0","6844"
"Spain (ES)","06.09.2021 19:00 - 06.09.2021 20:00 (CET/CEST)","442","n/e","0","0","10833","520","160","0","0","0","","0","586","2448","0","6935","59","109","1809","264","0","6412"
"Spain (ES)","06.09.2021 20:00 - 06.09.2021 21:00 (CET/CEST)","458","n/e","0","0","11135","520","160","0","0","0","","0","615","3427","0","6939","59","109","379","272","0","6334"
"Spain (ES)","06.09.2021 21:00 - 06.09.2021 22:00 (CET/CEST)","454","n/e","0","0","11183","520","160","0","0","0","","0","623","3038","0","6937","58","109","96","270","0","6577"
"Spain (ES)","06.09.2021 22:00 - 06.09.2021 23:00 (CET/CEST)","450","n/e","0","0","9895","520","155","0","0","0","","0","601","2633","0","6938","57","110","77","269","0","7005"
"Spain (ES)","06.09.2021 23:00 - 07.09.2021 00:00 (CET/CEST)","424","n/e","0","0","8523","520","151","0","0","0","","0","543","1935","0","6941","56","109","75","269","0","7771"
"Spain (ES)","07.09.2021 00:00 - 07.09.2021 01:00 (CET/CEST)","406","n/e","0","0","6449","516","148","0","0","0","","0","516","1711","0","6942","56","101","75","262","0","8816"
