Code poste;Nom poste;FONCTION;Etat;Tension (kV);Longitude poste (DD);Latitude poste (DD);Géo-point poste (DD)
ANGLE;ANGLEFORT;Poste de transformation;EN EXPLOITATION;63kV;5.821231919263091;45.91215946173189;45.91215946173189, 5.821231919263091
ANGRE;ANGRESSE;Poste de transformation;EN EXPLOITATION;63kV;-1.3736507109670546;43.65829848600492;43.65829848600492, -1.3736507109670546
ANNEM;ANNEMASSE;Poste de transformation;EN EXPLOITATION;63kV;6.233081248162438;46.183601916553584;46.183601916553584, 6.233081248162438
ANOUL;ANOULD;Poste de transformation;EN EXPLOITATION;225kV;6.9604233084194655;48.18491713447178;48.18491713447178, 6.9604233084194655
ARACH;ARACHES;Poste de transformation;EN EXPLOITATION;63kV;6.635008308060206;46.017156220537316;46.017156220537316, 6.635008308060206
ARBI1;ARBINE 1;Poste de transformation;EN EXPLOITATION;45kV;6.453784246690252;45.617560098024875;45.617560098024875, 6.453784246690252
ARBOI;ARBOIS;Poste de transformation;EN EXPLOITATION;63kV;5.753154950859793;46.90102173645081;46.90102173645081, 5.753154950859793
ARC18;ARC 1800;Poste de transformation;EN EXPLOITATION;63kV;6.7818452205871305;45.578893403033796;45.578893403033796, 6.7818452205871305
ARCHE;ARCHES;Poste de transformation;EN EXPLOITATION;63kV;6.539952017847279;48.113651722371216;48.113651722371216, 6.539952017847279
ARGE6;ARGENTEUIL;Poste de transformation;EN EXPLOITATION;225kV;2.2397492622707356;48.935855107037675;48.935855107037675, 2.2397492622707356
ARGEN;ARGENTIERE (L);Poste de transformation;EN EXPLOITATION;150kV;6.55940313071648;44.79095238429113;44.79095238429113, 6.55940313071648
ARGOE;ARGOEUVES;Poste de transformation;EN EXPLOITATION;400kV;2.250449188144369;49.93959548036582;49.93959548036582, 2.250449188144369
ARJOM;ARJOMARI;Poste de transformation;EN EXPLOITATION;90kV;0.7462089006531686;47.8255003026554;47.8255003026554, 0.7462089006531686
ARMON;ARMONVILLE;Poste de transformation;EN EXPLOITATION;90kV;1.9706216681259632;48.25249605733114;48.25249605733114, 1.9706216681259632
ARNAG;ARNAGE;Poste de transformation;EN EXPLOITATION;225kV;0.18417435744025495;47.921437538566984;47.921437538566984, 0.18417435744025495
ARNOU;ARNOULT;Poste de transformation;EN EXPLOITATION;90kV;-0.8472454816856347;45.82009796191684;45.82009796191684, -0.8472454816856347
ARPEN;ARPENTS (LES);Poste de transformation;EN EXPLOITATION;225kV;1.3839132342552853;48.7098768941521;48.7098768941521, 1.3839132342552853
ARRO5;ARROUX;Poste de transformation;EN EXPLOITATION;63kV;4.173166540946604;46.786700896381646;46.786700896381646, 4.173166540946604
ARSEN;ARSENAL;Poste de transformation;EN EXPLOITATION;90kV;-1.642704497748764;49.65177326788578;49.65177326788578, -1.642704497748764
ASNIE;ASNIERES;Poste de transformation;EN EXPLOITATION;63kV;2.2843739663356266;48.904952905476094;48.904952905476094, 2.2843739663356266
ATTAQ;ATTAQUES (LES);Poste de transformation;EN EXPLOITATION;400kV;1.9140558191229573;50.92145079702976;50.92145079702976, 1.9140558191229573
AUBET;AUBETTE;Poste de transformation;EN EXPLOITATION;225kV;5.194953323434346;43.50199876757779;43.50199876757779, 5.194953323434346
AUBIG;AUBIGNE;Poste de transformation;EN EXPLOITATION;90kV;-0.46639774230764663;47.20671662432996;47.20671662432996, -0.46639774230764663
AUBIN;AUBIN;Poste de transformation;EN EXPLOITATION;90kV;2.2571965086734735;47.1047779692167;47.1047779692167, 2.2571965086734735
AUMAL;AUMALE;Poste de transformation;EN EXPLOITATION;90kV;1.7595185377964808;49.767777861555146;49.767777861555146, 1.7595185377964808
AUMON;AUMONE (L );Poste de transformation;EN EXPLOITATION;63kV;5.955362391086938;45.86518557599205;45.86518557599205, 5.955362391086938
AURIA;AURIAC;Poste de transformation;EN EXPLOITATION;63kV;-0.32111660265178255;43.46054934386834;43.46054934386834, -0.32111660265178255
AUXON;AUXONNE;Poste de transformation;EN EXPLOITATION;63kV;5.386227669964856;47.188760462661556;47.188760462661556, 5.386227669964856
AUZAT;AUZAT;Poste de transformation;EN EXPLOITATION;225kV;1.477804885659504;42.763031851833766;42.763031851833766, 1.477804885659504
AVIG6;AVIGNON (C.N.R.);Poste de transformation;EN EXPLOITATION;225kV;4.817237099914108;43.97607678093811;43.97607678093811, 4.817237099914108
AVIGN;AVIGNON (POSTE);Poste de transformation;EN EXPLOITATION;225kV;4.854819820949803;43.948269226594505;43.948269226594505, 4.854819820949803
AVOI5;AVOINE (POSTE 400 KV);Poste de transformation;EN EXPLOITATION;400kV;0.16329189049460652;47.22415027806149;47.22415027806149, 0.16329189049460652
AVOIN;AVOINE;Poste de transformation;EN EXPLOITATION;225kV;0.17115980931286445;47.23079208171275;47.23079208171275, 0.17115980931286445
B.AUS;BOIS D AUSSOIS;Poste de transformation;EN EXPLOITATION;63kV;6.715014680949539;45.22336862376306;45.22336862376306, 6.715014680949539
B.GUI;BOIS-GUILLAUME;Poste de transformation;EN EXPLOITATION;90kV;1.1327846614396169;49.467031229426624;49.467031229426624, 1.1327846614396169
B.LOM;BEAUMONT-DE-LOMAGNE;Poste de transformation;EN EXPLOITATION;63kV;0.9945228773787973;43.89233720823981;43.89233720823981, 0.9945228773787973
B.ROC;BAULME-LA-ROCHE;Poste de transformation;EN EXPLOITATION;63kV;4.784957836201718;47.34080681588103;47.34080681588103, 4.784957836201718
B.VER;BOIS VERT;Poste de transformation;EN EXPLOITATION;63kV;1.3814867426100248;43.53120530626038;43.53120530626038, 1.3814867426100248
